Plaintext,Ciphertext
odels ar,6cc64b0f7cc121a5
e based ,b8e46bf3f3046e76
on compl,db499993dc4fb793
ex recur,5fbc245f1fa334c2
rent or ,8319de73afef8fe2
convolut,ee2785c98dd6934c
ional ne,789481831af3880c
ural net,05c97adc7aa35bcb
works th,308c975fc7ce303d
at inclu,d5f7c93913294c6f
de an en,7d4a577e95f20c7f
coder an,ec84e006c98451f9
d a deco,e66c8b9071e1eed7
der The ,6fb529a722ae3453
best per,9b5342ede2eb6d64
forming ,356af54fc378d5c2
models a,e910b04f7d9e9254
lso conn,1963803343b1451b
ect the ,5f1038a7bca676d5
encoder ,dcc5fc4782fc3744
and deco,38766e8b87680387
der thro,f3aefa2b57537769
ugh an a,b9707bb05327e896
ttention,1256dfa50ed0448a
 mechani,bc558c75e498dac2
sm We pr,f57957fe17a2625f
opose a ,67597de82158655d
new simp,921eab15d04de27b
le netwo,b834e68f257ad645
rk archi,4d1dce6c3c02d432
tecture ,2148cc3b84691169
the Tran,f9b118f1620a7274
sformer ,ce448f6ad4ccbfdd
based so,ef9a2ea160c231f2
lely on ,e28dc7b431757663
attentio,293abe129fc0e635
n mechan,be0d57c81bc408d8
isms dis,56b99c1b0447be61
pensing ,6a106f953fa741e2
with rec,a11467260e62e198
urrence ,1de3e65374893156
and conv,ea1ebc53629fd4b4
olutions,082dea82e4db782e
 entirel,be71e2f0ba155462
y Experi,f977bb5bc2d61482
ments on,47e018b5eb480037
 two mac,a735c73c23a313ae
hine tra,13e3e6b0efe2cb59
nslation,300fa0be570e9b62
 tasks s,84933ae93efff00b
how thes,4f49f34171ebbd5b
e models,037848cf4c1804a3
 to be s,d2d3aec8711b01e8
uperior ,ff7742e2f078c9e9
in quali,6993b7a4c77a82cd
ty while,6a4af8ac1eadd944
 being m,37f83c382ceeb50d
ore para,1c265869c130b644
llelizab,426de6cdb076c32e
le and r,14a75ef1365c3503
equiring,9a215a0c50e24b85
 signifi,178aef7bce82a950
cantly l,8f2fef01e6594e65
ess time,9e14d320866aee17
 to trai,ea89c2e557708f12
n Our mo,45df296b6f6b09b2
del achi,a73217f9c1458f7e
eves 284,87bcc4bafa4f190b
 BLEU on,430cc5043e9f79d8
 the WMT,64b66f8b096bb1b4
 2014 En,854ed8b6657ac164
glish to,7ac00dccd855fd39
German t,d8aeafc48f3aec03
ranslati,b0678fa28197311e
on task ,092fc8c22f1f73e9
improvin,10aca18e06921cfd
g over t,c251b7d8acb63ad7
he exist,f1b536e449484a1a
ing best,12dabe5b0f309ca6
 results,15701239e017afa0
 includi,fa94c232e630b235
ng ensem,b0a50be9fc5e10c6
bles by ,b5b2ec40563c1c73
over 2 B,350915cc1b8198d0
LEU On t,42e240339e4b63d4
he WMT 2,ac329b81d48b8136
014 Engl,5469298f6b5a8d20
ishtoFre,191699c050cd2e63
nch tran,aaeda7e8f0b082f5
slation ,a0ce583f78498269
task our,7593a310b47a636d
 model e,e131c458ad9b6bd0
stablish,67d6f7a01227af10
es a new,ea940bd8e275f67c
 singlem,1f3cd22c9bd71f12
odel sta,cdbdb5ba0a37c9f3
teofthea,d4d02cbf99a18378
rt BLEU ,57f32d470a41acac
score of,3023b40a444900ff
 418 aft,398f4b382cc03ec0
er train,a1fe2ab7e7cca2bc
ing for ,5d40b2fa09c9bb42
35 days ,222a02aba92d493e
on eight,f1c7b4d5b1ca57fa
 GPUs a ,b3c1788dca677b87
small fr,35d32d257bb674ec
action o,6edf4063c2a5adf1
f the tr,0cb47c4c2f29eda7
aining c,764565d91a07c10e
osts of ,de8b0e7763eff04d
the best,af3456e42103bf24
 models ,d9f0c2d2f2e3d2ae
from the,a4dba6bd9672de08
 literat,3d55a5fd2732ab92
ure We s,c86a2fe7fe7b3d8b
how that,876f85a405e39944
 the Tra,9b6d4fea824ac62f
nsformer,dc59fc09507d5d1c
 general,298fc1fb9a8d884d
izes wel,eed603f0123fe500
l to oth,9261a3a64dfe1486
er tasks,1ce277c179057d5d
 by appl,b41a5349ccd30e67
ying it ,c2f3a9b77b17c5d2
successf,c53ee06aacdfdd33
ully to ,9c887b4b6dc35cec
English ,7164fa11d67bccd6
constitu,c0bf8d1bfcea0d2c
ency par,0a7e6e90d74f709c
sing bot,1573841692d2d752
h with l,0c1c3cab56b4d8da
arge and,8f0fcc9533cd043d
 limited,0b1f6c7ec24dc109
 trainin,162279f7069b0ed2
g data E,79563dd84f97275b
qual con,25402a7bda44a85e
tributio,854b71acfae40389
n Listin,95f6db7c26954c73
g order ,42530c1f101c9400
is rando,d32cb82ad00e78d8
m Jakob ,7b82b7d8a780ee9e
proposed,76fb37adc041e3d8
 replaci,9cad043e899f51ae
ng RNNs ,4b8c61def66769eb
with sel,d840c105e6afde28
fattenti,ee2417ec9853a074
on and s,9e7c648f0f9aef22
tarted t,6775831001000852
he effor,ac10bba4ba757d26
t to eva,8ee226771f8da843
luate th,dd8d9b193dee3d53
is idea ,17e53cbdb76446b9
Ashish w,82bcd27fe446dcc4
ith Illi,69351444d907fb0c
a design,2cdbcc4ff3ad0137
ed and i,dc3ec6ffb305c5ce
mplement,0be0d7a2761bbc12
ed the f,aa8a0b2c8e356927
irst Tra,d9a762cbb2d99a76
nsformer,dc59fc09507d5d1c
 models ,d9f0c2d2f2e3d2ae
and has ,c950906f948a2da7
been cru,d507dadfe52a43bc
cially i,8b840349fb780225
nvolved ,f56984f1aeef6ac2
in every,015847b0d3873f41
 aspect ,73fc48c22d3544de
of this ,49af1d93e42c958e
work Noa,b61a968f561ce744
m propos,aedc62a76f3e1d2a
ed scale,74ca7bc06ee24828
d dotpro,967b63b6ed68388f
duct att,c6b2c3101204f5f4
ention m,c2f076fe3703ed0b
ultihead,1e599b16f98f912b
 attenti,ab9f9fd18534cc10
on and t,80fc0f8375c04bb9
he param,a6bd4c9aac13b5ec
eterfree,9852f53dac6da072
 positio,e9e98943602491c5
n repres,ca1eb962016ea00a
entation,ae73ba5592e24559
 and bec,9d55242bfb48b421
ame the ,aa40eb4aa2b49311
other pe,9797f943ea8ee330
rson inv,07d3af6a70a9b23f
olved in,4e5708fa13b65963
 nearly ,b1a0f7539337fafc
every de,b26b97c4fda9d72c
tail Nik,3fa4d40a40149572
i design,ac9c059200c809db
ed imple,afdc88fa232c834e
mented t,8c461e39015dace4
uned and,3df94e53c6fd4209
 evaluat,56e9e9ffdd03571b
ed count,56fb1d12bb016968
less mod,4c60562266c06e9f
el varia,3f1dfb9cd17f5475
nts in o,51bcc91c46d3fe56
ur origi,2b354fbce7f5d0db
nal code,96902e51add4d7ad
base and,33c4b28e0ec6bc42
 tensor2,ec675cbb32d9275b
tensor L,ea29233cec335315
lion als,b75aa20a406ed6ba
o experi,7b1b81d9aabf7927
mented w,1043ac183050731a
ith nove,f8cd548d1c3447b4
l model ,25f3d53a46455925
variants,368266d8c43f0514
 was res,8857001e01992fb1
ponsible,45ef0193f48d3752
 for our,a9700dd6c4b04f93
 initial,407d90361824d0f4
 codebas,c8c833673d69fe67
e and ef,d4285fd4787f18f1
ficient ,443c3ec69ecf8d17
inferenc,b702dc134d18ea83
e and vi,e607ff856aef756c
sualizat,34cffa56c3225140
ions Luk,96cce449df5e42e3
asz and ,4d8e3b33b2b8753e
Aidan sp,1b059d6efe4a972a
ent coun,d7eaec474b78ccd9
tless lo,00d81dc23896a696
ng days ,00ad6d81d3d94880
designin,97739ca7b57b591c
g variou,6cf73fd84372d786
s parts ,033c1df9fc7e77f1
of and i,8da2bef0931ff031
mplement,0be0d7a2761bbc12
ing tens,cdb1901eb1703145
or2tenso,66ddf3f2981c9f86
r replac,7d8b23e11afc5f5c
ing our ,4dd91c475b9fcfe9
earlier ,48268fdfb688cf17
codebase,615d6b637f83884a
 greatly,103423a8ea6dff8c
 improvi,eca23f5959b30602
ng resul,8ec8c1d0207eb90a
ts and m,6860d4454ec40382
assively,e46d7fc7c93ea212
 acceler,2e35e7589c6748b5
ating ou,70d6857695cfaeb3
r resear,627013096d380d0c
ch Work ,1e3be8767a41d5a6
performe,c3d77f94a6cf7ef3
d while ,6600bf67a6bda0db
at Googl,77d4c776600fe589
e Brain ,149475e2c13dcb68
Work per,eaffdf1693ae15d9
formed w,d1360ff320117486
hile at ,3713bb8c1251735a
Google R,9bdfffa80af252a3
esearch ,fe67204d033c0b25
31st Con,e4e6083456f88531
ference ,043065bca3567b1e
on Neura,ae5f30327d1e6957
l Inform,532761bcb1ee687a
ation Pr,e65d2f672f2c0d04
ocessing,13d4a8669aaa7c46
 Systems,3d9932f8879bf16b
 NIPS 20,63d1ea4dbdc86080
17 Long ,4f194f0c4a8ee4a2
Beach CA,af41f243b2796971
 USAarXi,89572fbb654b5128
v1706037,19f3c868d1014ef1
62v7  cs,77b7d3ba0d2cc371
CL  2 Au,d98547569c07438d
g 20231 ,3a59ac0100de8eae
Introduc,ce4707277931fa54
tion Rec,969ab6f64859bd2c
urrent n,800f719f87c936f9
eural ne,5aa282e81a3b3504
tworks l,bf50ecb4c7cfd4e2
ong shor,d3c71e4b0d0e93bf
tterm me,0e0582deaad67ec4
mory  13,8e884dc3157adae6
 and gat,0993a781d0c08291
ed recur,12c13b3ffda8d73d
rent  7 ,6b54ef9b688487dd
neural n,a58c0848506924cb
etworks ,457db824a8cf2709
in parti,560acca33d1de768
cular ha,3a6625f8944d70e0
ve been ,5183695ace051bf9
firmly e,8e9abaf24c7875cc
stablish,67d6f7a01227af10
ed as st,a7890f9d10cecb61
ate of t,de6e0a9a17712e14
he art a,6bf938b929db8af7
pproache,1553da215e8212d5
s in seq,7cd73065e612b698
uence mo,411df9edec61669e
deling a,80973773cc48af00
nd trans,420be8b2e536d226
duction ,c1c010a0cc319b5b
problems,01901f1438a79495
 such as,b137905938c98bb2
 languag,7f7bd48e6e40b762
e modeli,bd91af177a2a3c0a
ng and m,8cd59dd47727de21
achine t,8d7858f0c3e27832
ranslati,b0678fa28197311e
on  3525,edf0b74b02d8f70f
 Numerou,fd1ca368ebf6ce00
s effort,5ba0cd464b436061
s have s,d63fd2b1ab4a4d9b
ince con,18cd1ec849d7fed8
tinued t,5e128fc58ec6032c
o push t,d0b97a8af1850c18
he bound,d4ca368f6ee83d8d
aries of,8ed22531f32023b3
 recurre,a1c6913174a98516
nt langu,6d804cd6d5859b2b
age mode,fed4ec4b357eda9c
ls and e,36d6516704800011
ncoderde,65a2815cd3eae620
coder ar,69b44df8c521b1d7
chitectu,3cc85809535c526f
res 38 2,10184872e4fb1250
4 15 Rec,5abf8c06d279992c
urrent m,c8db7aee01971e24
odels ty,9befbb54baf02239
pically ,5bc24b63892a95ea
factor c,2b5c766a6ca60855
omputati,f9b821dd6912aa1e
on along,61a1553b366b9696
 the sym,9efd237a53a355fc
bol posi,c5aef3c5247c3135
tions of,fadbc2f3677a0bfe
 the inp,050f3d08ef462219
ut and o,022e3566ed9abd1b
utput se,d276d0005454a63f
quences ,5a0fac050c68a279
Aligning,828d90f53ebcbf35
 the pos,707dc8aa11a4143b
itions t,f4810462ee9f14d0
o steps ,2fa43fc8da5961d4
in compu,00c94a568bedaf7b
tation t,7496428f47c83974
ime they,e1a06bfd2d5776da
 generat,8bb45d020d942fbe
e a sequ,05bb2350d18fe7cd
ence of ,3f53000fdac8cdd7
hidden s,cdde6e1494e43122
tates ht,2aea9c19551abc0f
 as a fu,7195cce6a6529e37
nction o,873eb10222bdbbf5
f the pr,7e51c281d5d38526
evious h,ed5d179d0e22f6d4
idden st,bb98569a7c6d7228
ate ht1a,410622e599204035
nd the i,a735d055e12baf89
nput for,38c56fac59c9f93d
 positio,e9e98943602491c5
n t This,0b0e59b2b2ce413c
 inheren,7356598a6b0e5f8d
tly sequ,dff7b757324ff8ca
ential n,cc5e213b6640d2df
ature pr,d07ee9f86a789aaa
ecludes ,2cdd16c299007565
parallel,965e4a7edb912a54
ization ,bd232698bdc4b5b6
within t,e78ae8926125b716
raining ,79a3b92282fdd719
examples,a06309daf8320842
 which b,1ac03f18ad6d626f
ecomes c,b4b5ef0ce6afe6a8
ritical ,3adac5d55041ef32
at longe,416df102dffd1535
r sequen,23c1a2278f656d83
ce lengt,32f0c37ca42b1be4
hs as me,4d781f7e35b6a30a
mory con,6ccd579ce3ef8fe2
straints,c506f578332728aa
 limit b,b0bb7611ab78d100
atching ,8493f867e37f07bb
across e,b435c244ceb1331f
xamples ,0a5e94e57c7de864
Recent w,bb7b9ef56fbba5c3
ork has ,2e0ddb6a63166b4d
achieved,371a324fe0e1b253
 signifi,178aef7bce82a950
cant imp,253d549d01efe056
rovement,0fb20a4c59d795f1
s in com,222c1a5bd4fe880a
putation,54b99937a0ac0e2b
al effic,47aceacec6f344c7
iency th,d08a9624a87acd27
rough fa,9f4c9d2017f4bf77
ctorizat,3d662a6cd8028009
ion tric,2e87ec23ed012b6f
ks  21 a,18ff50595f63543e
nd condi,30cf9e60f0cebb58
tional c,4d9c2aef23b51765
omputati,f9b821dd6912aa1e
on  32 w,0902c2c82f415ec6
hile als,79666876ab68835f
o improv,251ea70f32723220
ing mode,e425289f5e83273d
l perfor,aa08349d81ddf7bb
mance in,ae317086bbd04737
 case of,dc2dce6a9617f4e6
 the lat,49bad32ced90d22b
ter The ,7046e39b8e8f94b1
fundamen,dc7c46f52ebd4319
tal cons,1ebc9fa7c32b30ba
traint o,50cf3f248d699e5c
f sequen,b453041b0e282c24
tial com,4be013f8d82159db
putation,54b99937a0ac0e2b
 however,7a297b0f0ebe8467
 remains,cc8ccbab1f033c41
 Attenti,0fa7a0f7c2b0f3cb
on mecha,77fd77d3e499922b
nisms ha,ffc9b865af28bdfe
ve becom,5c9b1a5eef4f7b0f
e an int,f79f8caaf176f406
egral pa,9b8126b8c529227d
rt of co,597a3cd4af890ad0
mpelling,da67548e09e7aefc
 sequenc,a95b63d282ddbb7f
e modeli,bd91af177a2a3c0a
ng and t,bd7c1b790185ddec
ransduc ,2772f53e19b18421
tion mod,6b0becafb775dc87
els in v,90159979e995d151
arious t,1e697b1f9f25e718
asks all,2cc00bc2adbf0376
owing mo,eb783dbf35a54013
deling o,aa1f805ca7437b3a
f depend,ff23544c11293b9e
encies w,025260d0d426f91e
ithout r,3362f7b887ce337d
egard to,c2ec941a9a8c5c86
 their d,743d1d96ef99d422
istance ,9b11ce9af66bd298
in the i,ce779fd1e34a9f3a
nput or ,9fac44bf28eca2ca
output s,8386791965a574d9
equences,3aa5bfd5a49d015d
  219 In,8f4d8c87f1d95112
 all but,5998d07bdd4ffe2b
 a few c,c253bc46b9f88e01
ases  27,2b0eefa4fdbb0a82
 however,7a297b0f0ebe8467
 such at,eb95b6263494d8ca
tention ,464d50c98f99a9cc
mechanis,5bc7dbe45b8615d2
ms are u,c059e15534dc3296
sed in c,9816f05046c33ce9
onjuncti,6f53766632aead03
on with ,dc76158754989a13
a recurr,5796f24046d923a4
ent netw,52bcf1035820cc76
ork In t,fd24088c378e6117
his work,18c79910af1ed62c
 we prop,270803ba6f4d18e1
ose the ,f00b7365774eda0a
Transfor,424b1b5b4e494fa8
mer a mo,08ea06fd752d5e9b
del arch,452080bd568c7324
itecture,e24fa398cd631bc2
 eschewi,296898f003d545de
ng recur,b456a72f2d661425
rence an,cc9dcf188b11ea9a
d instea,a345d3217e2fe26a
d relyin,f5713309fec1fed3
g entire,451a2f29fb13db21
ly on an,4ec1a23b6c5b45a9
 attenti,ab9f9fd18534cc10
on mecha,77fd77d3e499922b
nism to ,a51eb3b9b844c6c9
draw glo,f799be55d7d3558f
bal depe,cd7dcb927e15d706
ndencies,4e5035cd3ba46092
 between,395a6753af41694b
 input a,7e7066d94411c5ed
nd outpu,a4e0f6cf30d29019
t The Tr,f9200722cef04a8b
ansforme,8de271335d26a3ab
r allows,e317833ddad28aca
 for sig,b45e3626e205c5a0
nificant,4198f605de94cfd9
ly more ,a31bb1148a06d038
parallel,965e4a7edb912a54
ization ,bd232698bdc4b5b6
and can ,4fb8efa87db0b965
reach a ,e91658ad421cff00
new stat,0459fd72f4ac80b2
e of the,b766d96d4160758e
 art in ,6cec6963a5531ea5
translat,fdcfee8b170d5c1d
ion qual,5413841e47e7bda4
ity afte,cfa01f2f7283f994
r being ,9231976328b9bbc4
trained ,e794479d35ed7998
for as l,40482ec56e4f4a2a
ittle as,112f8735b281e03e
 twelve ,e2a4853389b52942
hours on,43798b666c92d07d
 eight P,dfbe069962bcf7dd
100 GPUs,6b44e368227fff23
 2 Backg,b6e2c5f235e0e2e1
round Th,3d7867d88206b1ca
e goal o,b24dddf088d4e09a
f reduci,889f87ed22174347
ng seque,3a7467501addc4bf
ntial co,67e8947bbc7e087b
mputatio,13559d32d2ac33eb
n also f,e9b645532a517126
orms the,67b5e15c50cec30b
 foundat,3d429758279aa6be
ion of t,b9a7108f80486026
he Exten,2236bdadd625ade4
ded Neur,733b0204bcf1022e
al GPU 1,364be68ccb65819b
6 ByteNe,857f7ad6a1d9afa0
t  18 an,c1a090840ea62e9a
d ConvS2,3d479b33ead75baa
S  9 all,a465d15f7e5bf143
 of whic,d531ec771ec34318
h use co,cc7c7559ca6f431c
nvolutio,0ce8fb2eb1f83e4c
nal neur,f9d5abf7dfef650a
al netwo,eab7601fa5f24d49
rks as b,7293d31d21125c15
asic bui,df4e037dd1a3bb34
lding bl,596abd73c972686b
ock comp,835618d3757e54ea
uting hi,445169f7aaacade1
dden rep,47ae45985735ee7e
resentat,02eff80b552df6b5
ions in ,361176cb8e520f45
parallel,965e4a7edb912a54
 for all,7b60e42c70efdb80
 input a,7e7066d94411c5ed
nd outpu,a4e0f6cf30d29019
t positi,9ce08d6d048d2beb
ons In t,0086aca18270bb97
hese mod,49477cd44f9bc100
els the ,6b2b9ce03964237a
number o,2cbdc05e755085e1
f operat,b88932e489e115d3
ions req,bce74ec5918f963b
uired to,259baaed96afef46
 relate ,d293129acdf71b05
signals ,7209e3e63926823d
from two,7992d1f499b06acc
 arbitra,df6f5df417a945d0
ry input,764123393537c703
 or outp,8a531c12388a2d4e
ut posit,f5386568955f7ce7
ions gro,40a5c7ca458c37b7
ws in th,0999fe34f933601c
e distan,f37ae5984a47ec38
ce betwe,a75846652d44dba5
en posit,d6d02e0ceb8def35
ions lin,1f8403be5f0a1afe
early fo,bb09fd18e99b8443
r ConvS2,0f3d597e7a8783bc
S and lo,c72b2618366a89be
garithmi,3fe5b1320cb082a3
cally fo,062a5daceff32bd9
r ByteNe,d113aecfae5d238e
t This m,69cff4268c590af3
akes it ,86170a6d905c4aed
more dif,b680b8072c9a9126
ficult t,feb828eccf23019f
o learn ,ed996927325d3ad0
dependen,2fc625b1c9149c79
cies bet,25567ab9fc6809ef
ween dis,3acdb9ba255c133e
tant pos,7249be888f99f975
itions  ,bb9086f75c776f29
12 In th,c5f5932883f9973c
e Transf,1bf5be4fd0bc54c4
ormer th,fcc2d9c24d2a05b3
is is re,00cdd3edec125682
duced to,f10a39c756eb5a36
 a const,3188abb1b9d80a38
ant numb,125e6e861d09b71e
er of op,205ac7b2cff2c7d8
erations,cb4349b16fad3ac3
 albeit ,4c85d3b09140ac8e
at the c,8234919bf2fd02e3
ost of r,3cd3c908bb0efdd7
educed e,fdab37b10bc68002
ffective,3000478f08d3b7e1
 resolut,38e1458ff73f87fd
ion due ,45cb461b53c2a15e
to avera,8b6e4cf7bfb54a9b
ging att,52f88d53242b2371
entionwe,a4c60dbba10fae5e
ighted p,27fdc3d530b20b52
ositions,d68f0ea885a248fa
 an effe,5ec73ea5933fcd3b
ct we co,c0ee5fcbd6a6bfb4
unteract,f8062505faf79de4
 with Mu,97d1c1afcb493fc1
ltiHead ,faf9dfd426e2d896
Attentio,d76c31328616b627
n as des,ec69ced9c091a7d3
cribed i,94d2ca78f83c7ba6
n sectio,238adf2ed0069bc5
n 32 Sel,edf66b13d3b270fa
fattenti,ee2417ec9853a074
on somet,c537cea4ff1baa41
imes cal,bf57589efee0cd08
led intr,fd2f37dc297de8d3
aattenti,cacdf007586491e3
on is an,3b0d7ab7d36ccc37
 attenti,ab9f9fd18534cc10
on mecha,77fd77d3e499922b
nism rel,8eb7ae3e0088f3fd
ating di,246394d01f2c6536
fferent ,f2148cecdaba582b
position,2414468800e43760
s of a s,69588715c03b4aa4
ingle se,876a9497fd177868
quence i,7c03c0744c77605d
n order ,1b7a2563a581e468
to compu,5c62fcfa6cb0f57a
te a rep,29ed761c9a9e1c66
resentat,02eff80b552df6b5
ion of t,b9a7108f80486026
he seque,57851ebd6ce95024
nce Self,38c2ed7e7765b75b
attentio,293abe129fc0e635
n has be,73f6a3da71f1d03e
en used ,960cb0762645579e
successf,c53ee06aacdfdd33
ully in ,b4bc7594a1f472e8
a variet,12b996591a3c4a41
y of tas,b44a242c158fa512
ks inclu,0cf075a64a580395
ding rea,818c372cfa38e089
ding com,407baf2e95c210ed
prehensi,816348b47c57d33d
on abstr,104ff829ffe9aecb
active s,f5103a27d273c367
ummariza,1034b473277d08a6
tion tex,16cf727bb75bc4e8
tual ent,9eed837580424766
ailment ,fcbcd4de48c9c57f
and lear,23133a30f57b2bbe
ning tas,057575bd4139d236
kindepen,d0c0223dcdd602ef
dent sen,334ee53b9ef8583e
tence re,1b5a107bc9bf56bf
presenta,83a2777cf81f0650
tions 4 ,c1342a9efec03df5
27 28 22,ed6dfbb8eb6ad94e
 Endtoen,f5d9e7fbdc2f78e5
d memory,88be802d1d558c70
 network,45a315ecb660b36b
s are ba,7e8cca994bc0967f
sed on a,037ad370f272c1e2
 recurre,a1c6913174a98516
nt atten,0b2c05e4435f963a
tion mec,18a9a9491d789256
hanism i,33d0ec0749f61d5a
nstead o,cc502aa716563774
f sequen,b453041b0e282c24
ce align,72d38cd41106656a
ed recur,12c13b3ffda8d73d
rence an,cc9dcf188b11ea9a
d have b,1e57929e1641e0c6
een show,d5b6638e9e66ded3
n to per,8581c3e2e1767cc4
form wel,1456eababc77f21c
l on sim,5dc94440f3ff237c
plelangu,cdfc5eb185f994f3
age ques,b8e2726234c644a8
tion ans,3ec746be340b2dfc
wering a,40a98222762f1787
nd langu,1a99e4541fe35d5b
age mode,fed4ec4b357eda9c
ling tas,d5bb8884b3e1128e
ks 34 To,b98d511899f1b0b4
 the bes,2bf1f34fcc393ae5
t of our,8d5276d11b73db63
 knowled,438e305bff8585a5
ge howev,b45618430f7a6187
er the T,a126383e8ed144df
ransform,200925ec50274440
er is th,b55c5356540f42f9
e first ,24d5eb45657f2697
transduc,b409a5a2e2b5e9f5
tion mod,6b0becafb775dc87
el relyi,5081a60867c1ba9e
ng entir,dcffb8ae3225a258
ely on s,4810259e026c1416
elfatten,36e84484fc554133
tion to ,9b4716effb19adcd
compute ,d2732b5d080c28d7
represen,feb6b85b020990c8
tations ,2a214b1e2a6e2248
of its i,f34bd4ca15df21e5
nput and,bcbb9a327250113e
 output ,1cc779dca32ce7a2
without ,16c2a0b85038943a
using se,fc87c83dc9bdb28f
quence a,b58954aafdec0d69
ligned R,1b450df4c8686902
NNs or c,762cd872257a59d2
onvoluti,e102e8db27bcc3fe
on In th,5b005da1f77058a8
e follow,19e44e16008a93eb
ing sect,b266bc387414efd9
ions we ,ce79ed143407ab68
will des,124f83b146ba33db
cribe th,4c9bbae1665b4f9d
e Transf,1bf5be4fd0bc54c4
ormer mo,a40b1107b73e5cf2
tivate s,012a4f64a0efc955
elfatten,36e84484fc554133
tion and,417fb6fd25b76585
 discuss,330aa144e4c16a3f
 its adv,4c94d9f7b02062b8
antages ,9640c3c6cf6db79a
over mod,7f07733594252618
els such,af6d015e6fa299ea
 as 17 1,9614b9e0e7469d19
8 and 9 ,21b15ba0b13dd168
3 Model ,62b86ae19d7abc88
Architec,9a3e86657936c07f
ture Mos,d5f14965b7c502ca
t compet,6815ae373710bf9a
itive ne,c909409ece883f63
ural seq,5a395f68b6025bf4
uence tr,7e1d99b798761a22
ansducti,41aedcfc7058a8d7
